supplier_id,part_id,unit_cost,lead_time_days,minimum_order_quantity,monthly_capacity
S001,P001,85000,15,100,12000
S002,P001,88000,18,100,10000
S003,P002,4200,25,500,500000
S004,P002,4500,22,500,450000
S001,P003,3200,15,100,15000
S002,P003,3400,18,100,12000
S001,P004,18000,17,100,10000
S002,P004,19500,20,100,9000
S001,P005,15000,16,50,8000
S002,P005,16500,19,50,7000
S001,P006,8500,15,100,12000
S002,P006,9000,18,100,10000
S001,P007,3200,15,100,12000
S002,P007,3500,18,100,10000
S001,P008,1800,15,100,15000
S002,P008,1950,19,100,12000
S001,P009,6500,16,100,10000
S002,P009,7000,20,100,8000
S001,P010,4200,15,100,10000
S002,P010,4500,19,100,8000
S005,P011,42000,20,50,8000
S006,P011,45000,24,50,7000
S007,P011,48000,28,50,6000
S005,P012,14000,18,100,10000
S006,P012,15000,22,100,8000
S005,P013,28000,20,50,7000
S007,P013,31000,26,50,5000
S005,P014,18000,20,50,7000
S007,P014,20000,25,50,5000
S008,P016,28000,18,50,9000
S009,P016,30000,21,50,7500
S010,P016,32000,25,50,6000
S008,P017,7500,17,100,12000
S009,P017,8200,21,100,9000
S008,P018,16000,18,50,8000
S009,P018,17500,22,50,7000
S008,P019,3200,17,200,15000
S009,P019,3500,21,200,12000
S008,P020,1800,17,200,20000
S010,P020,2100,24,200,15000
S011,P021,18000,12,50,10000
S012,P021,20000,16,50,8000
S013,P021,22000,20,50,6000
S011,P022,4500,12,100,15000
S012,P022,5000,16,100,12000
S011,P023,3500,12,100,15000
S012,P023,3800,16,100,12000
S011,P024,900,12,500,30000
S013,P024,1100,19,500,20000
S014,P025,12000,14,50,9000
S015,P025,13500,18,50,7000
S016,P025,14500,22,50,6000
S014,P026,4500,14,100,12000
S015,P026,5000,18,100,9000
S014,P027,3500,14,100,12000
S016,P027,4000,21,100,8000
S014,P028,7000,15,50,8000
S016,P028,8000,22,50,6000
S014,P029,250,14,500,50000
S015,P029,280,18,500,40000
S017,P030,7500,10,500,15000
S018,P030,9000,17,500,10000
S019,P030,8000,15,500,12000
S017,P031,8500,10,100,15000
S019,P031,9500,15,100,12000
S017,P032,4500,12,100,15000
S019,P032,5000,16,100,12000
S020,P034,16000,20,50,7000
S021,P034,18000,24,50,6000
S020,P035,8500,20,100,8000
S021,P035,9500,24,100,6000
S020,P036,6000,20,100,8000
S021,P036,7000,24,100,6000
S020,P037,12000,20,50,7000
S022,P037,13500,27,50,5000
S023,P038,9500,18,100,8000
S024,P038,10500,23,100,6000
S023,P039,1800,18,200,15000
S024,P039,2100,23,200,10000
S023,P040,3500,18,100,8000
S024,P040,4000,23,100,6000
S025,P041,55000,12,20,5000
S026,P041,58000,18,20,4000
S025,P042,12000,12,50,10000
S026,P042,13500,18,50,8000
S025,P043,8500,12,50,12000
S026,P043,9500,18,50,9000
S025,P044,14000,13,50,8000
S026,P044,15500,19,50,6000
S025,P045,10000,12,100,15000
S026,P045,11500,18,100,12000
